Save Date,08:47:35 2020/12/10
Mode,User

Sampling Time(ms),8.0
Time Scale(ms/div),2000.0
Data Length(ms),20000.0

Trigger Enable,0
Trigger Channel,1
Trigger Level(div),0.0
Trigger Type,0
Pre Trigger(div),5.0
AlarmNo,1

CH1,1,0,2,1,0.000
CH2,1,0,2,2,0.000
CH3,1,0,2,3,0.000
CH4,0,0,2,4,0.000
CH5,0,0,2,5,0.000
CH6,0,0,2,6,0.000
CH7,0,0,0,1,0.000
CH8,0,0,0,1,0.000
CH9,0,0,0,1,0.000
CH10,0,0,0,1,0.000

CH1,1,0,0.0,50.00
CH2,1,0,0.0,50.00
CH3,1,0,0.0,50.00
CH4,1,0,0.0,50.00
CH5,1,0,0.0,50.00
CH6,1,0,0.0,50.00
CH7,1,0,0.0,1000.00
CH8,1,0,0.0,1000.00
CH9,1,0,0.0,1000.00
CH10,1,0,0.0,1000.00

Time,CH1,CH2,CH3
ms,%,%,%
1680.0,-3.902344,-40.568115,-56.431549
1688.0,-4.379974,-39.683990,-57.112427
1696.0,-3.760071,-39.023438,-57.396973
1704.0,-3.983643,-38.423859,-57.478271
1712.0,-4.258026,-38.566132,-58.616455
1720.0,-3.780396,-37.946228,-58.240448
1728.0,-3.099518,-39.023438,-56.777069
1736.0,-4.125916,-39.724640,-55.953918
1744.0,-3.343414,-39.907562,-57.356323
1752.0,-5.345398,-38.708405,-57.559570
1760.0,-5.243774,-39.785614,-58.575806
1768.0,-5.121826,-40.649414,-59.541229
1776.0,-7.245758,-42.671722,-60.079834
1784.0,-4.461273,-40.923798,-60.262756
1792.0,-6.686829,-41.045746,-59.277008
1800.0,-5.243774,-40.791687,-58.453857
1808.0,-6.209198,-40.588440,-58.657104
1816.0,-5.823029,-40.883148,-58.921326
1824.0,-5.762054,-40.862823,-58.179474
1832.0,-6.890076,-39.704315,-57.559570
1840.0,-5.365723,-39.186035,-57.976227
1848.0,-5.020203,-38.484833,-56.980316
1856.0,-5.741730,-38.098663,-56.370575
1864.0,-3.963318,-38.423859,-56.899017
1872.0,-4.664520,-39.785614,-57.275024
1880.0,-4.481598,-40.202271,-58.555481
1888.0,-4.217377,-39.409607,-58.403046
1896.0,-3.739746,-39.368958,-58.403046
1904.0,-4.522247,-39.805939,-58.077850
1912.0,-4.979553,-41.025421,-58.077850
1920.0,-3.597473,-42.011169,-58.575806
1928.0,-4.420624,-41.807922,-58.118500
1936.0,-5.985626,-41.147369,-59.398956
1944.0,-5.182800,-40.344543,-58.555481
1952.0,-4.064941,-41.990845,-59.063599
1960.0,-5.243774,-39.846588,-58.077850
1968.0,-6.646179,-41.086395,-57.132751
1976.0,-5.447021,-40.507141,-58.016876
1984.0,-5.568970,-40.364868,-57.742493
1992.0,-5.640106,-39.663666,-57.275024
2000.0,-7.012024,-39.104736,-57.112427
2008.0,-5.802704,-38.728729,-57.518921
2016.0,-5.487671,-37.458435,-57.478271
2024.0,-4.298676,-39.003113,-56.370575
2032.0,-4.003967,-40.791687,-57.020966
2040.0,-6.087250,-39.907562,-56.177490
2048.0,-5.680756,-39.582367,-57.051453
2056.0,-4.745819,-39.429932,-58.697754
2064.0,-4.105591,-39.267334,-56.675446
2072.0,-4.999878,-41.066071,-57.498596
2080.0,-3.485687,-41.553864,-55.953918
2088.0,-4.501923,-39.988861,-56.340088
2096.0,-3.485687,-39.623016,-57.254700
2104.0,-4.928741,-40.730713,-57.254700
2112.0,-5.507996,-38.901489,-55.831970
2120.0,-6.168549,-37.925903,-56.594147
2128.0,-5.863678,-37.682007,-56.197815
2136.0,-6.463257,-38.799866,-55.090118
2144.0,-5.762054,-39.125061,-57.000641
2152.0,-5.060852,-38.342560,-56.370575
2160.0,-5.304749,-39.186035,-57.000641
2168.0,-4.319000,-40.303894,-57.275024
